model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
GPT4o,Dataset_Encryption_Description,Description_Vague,0.2094,0.1,0.24795491525678615,0.16,0.27763266073726117,0.2494926005601883,0.15479352344877473,0.104,0.808,0.036,0.772,0.24351633036863057
GPT4o,Dataset_With_Comments_Description,Description_Fewshot,0.5498,0.55,0.26235464547059195,0.616,0.5127036617398262,0.5273987650871277,0.15262500773915513,0.54,0.604,0.38,0.224,0.531251830869913
GPT4o,Dataset_With_Comments_Description,Description_Simple,0.552,0.55,0.2547469332494505,0.6,0.4935312897861004,0.4999055564403534,0.14065335955739638,0.496,0.584,0.34,0.244,0.5227656448930502
GPT4o,Dataset_With_Comments_Description,Description_Reason,0.5516,0.6,0.27556748719687524,0.636,0.48825364977121355,0.48858824372291565,0.15310839149159058,0.484,0.552,0.336,0.216,0.5199268248856068
GPT4o,Dataset_Without_Comments_Description,Description_Fewshot,0.5714,0.6,0.266368241350203,0.668,0.5260586499869824,0.5378556251525879,0.1467031243838318,0.572,0.568,0.404,0.164,0.5487293249934913
GPT4o,Dataset_Without_Comments_Description,Description_Reason,0.581,0.6,0.27219294627157403,0.66,0.4663063464015722,0.46584266424179077,0.16036287321310422,0.416,0.532,0.304,0.228,0.5236531732007861
GPT4o,Dataset_Without_Comments_Description,Description_Simple,0.5452,0.55,0.2667526194810465,0.588,0.4921722665429115,0.4923599362373352,0.14293777850775954,0.492,0.552,0.316,0.236,0.5186861332714557
GPT4o,Variable_Renaming_Description,Description_Fewshot,0.46940000000000004,0.45,0.29467548252272363,0.496,0.4863426896929741,0.49500738084316254,0.16715965803369665,0.496,0.656,0.324,0.332,0.4778713448464871
GPT4o,Variable_Renaming_Description,Description_Simple,0.48819999999999997,0.5,0.31149760833752804,0.536,0.46457861560583114,0.4733419865369797,0.1631931704776816,0.416,0.68,0.316,0.364,0.47638930780291555
GPT4o,Variable_Renaming_Description,Description_Detailed,0.49040000000000006,0.45,0.30256873599233614,0.488,0.4097956957668066,0.41566984355449677,0.19856482792492508,0.368,0.592,0.224,0.368,0.45009784788340335
GPT4o,Variable_Renaming_Description,Description_Reason,0.48,0.45,0.30740852297878796,0.492,0.38847265439480544,0.3899003565311432,0.17862934661261803,0.292,0.624,0.204,0.42,0.4342363271974027
GPT4o,Variable_Renaming_Description,Description_Vague,0.462,0.45,0.3178616051051149,0.48,0.3668904428109527,0.3288123160600662,0.19293945467895368,0.276,0.596,0.176,0.42,0.41444522140547635
Gemini,Dataset_DeadCode_Description,Description_Simple,0.6952,0.75,0.2740017518192174,0.804,0.5073204532861709,0.5238543152809143,0.15465216881847546,0.556,0.6,0.48,0.12,0.6012602266430855
Gemini,Dataset_DeadCode_Description,Description_Fewshot,0.6746,0.75,0.2688955931211964,0.752,0.5226400485336781,0.5515037477016449,0.1533571747279694,0.564,0.564,0.44,0.124,0.598620024266839
Gemini,Dataset_DeadCode_Description,Description_Detailed,0.6844,0.8,0.27385514419123114,0.756,0.45143934962153437,0.4661673307418823,0.17494761852308163,0.44,0.532,0.364,0.168,0.5679196748107672
Gemini,Dataset_DeadCode_Description,Description_Reason,0.6904,0.75,0.26059132756099157,0.788,0.42854530112445355,0.45019035041332245,0.1915249900869467,0.392,0.484,0.332,0.152,0.5594726505622267
Gemini,Dataset_DeadCode_Description,Description_Vague,0.6888,0.75,0.2768294781991253,0.788,0.37708226796984673,0.37347742915153503,0.1815487159154092,0.308,0.44,0.268,0.172,0.5329411339849234
Gemini,Dataset_Encryption_Description,Description_Fewshot,0.605,0.65,0.29455899239371386,0.7,0.5396243531703949,0.5498912632465363,0.144712588884496,0.664,0.668,0.516,0.152,0.5723121765851975
Gemini,Dataset_Encryption_Description,Description_Simple,0.5932000000000001,0.6,0.29958931890172585,0.684,0.49048450526595117,0.5063614845275879,0.1499874698731639,0.524,0.552,0.38,0.172,0.5418422526329756
Gemini,Dataset_Encryption_Description,Description_Reason,0.582,0.6,0.29243118848713795,0.664,0.47371566082537175,0.4925708621740341,0.1524570644362636,0.48,0.584,0.364,0.22,0.5278578304126859
Gemini,Dataset_Encryption_Description,Description_Vague,0.6082000000000001,0.625,0.28309496639820353,0.704,0.39633748534321783,0.39239755272865295,0.16189855354652374,0.308,0.484,0.248,0.236,0.5022687426716089
