group,problem_id,success_rate,success_count,total_evaluations,lines_of_code,cyclomatic_complexity_total,cyclomatic_complexity_max,density,shannon_entropy,function_count,max_nesting_depth,has_recursion,task_type
failure,p02777,0.3027,89,294,33,19,18,0.575758,4.891882,2,2,0,count
failure,p03126,0.3027,89,294,42,12,12,0.285714,3.378245,1,7,0,unique
failure,p02881,0.3027,89,294,162,50,15,0.308642,3.674432,10,5,1,min
failure,p02659,0.3027,89,294,192,61,14,0.317708,3.617305,19,5,1,digit
failure,p02981,0.2993,88,294,144,43,11,0.298611,5.125477,13,4,1,min
failure,p02613,0.2959,87,294,204,66,14,0.323529,3.652294,19,5,1,count
failure,p02416,0.2959,87,294,42,14,14,0.333333,3.469225,1,6,0,count
failure,p02987,0.2959,87,294,70,19,19,0.271429,3.781451,1,4,0,string
failure,p03644,0.2959,87,294,30,16,15,0.533333,4.863049,2,3,1,max
failure,p02754,0.2925,86,294,87,31,11,0.356322,4.492484,9,4,1,count
failure,p02553,0.2925,86,294,82,65,53,0.792683,4.786507,8,4,1,max
failure,p03035,0.2925,86,294,79,31,11,0.392405,4.971399,10,5,1,other
failure,p02784,0.2891,85,294,128,36,11,0.28125,4.149907,11,4,1,unique
failure,p02899,0.2857,84,294,160,49,15,0.30625,3.574009,10,5,1,unique
failure,p02641,0.2789,82,294,40,26,26,0.65,4.432038,1,5,0,other
failure,p02693,0.2789,82,294,146,51,12,0.349315,4.483239,22,5,1,other
failure,p03416,0.2789,82,294,151,56,15,0.370861,4.935009,16,5,1,digit
failure,p04044,0.2789,82,294,156,47,11,0.301282,4.460467,18,5,1,string
failure,p03239,0.2755,81,294,110,33,11,0.3,3.999873,10,5,1,min
failure,p03011,0.2755,81,294,109,31,15,0.284404,4.223132,14,6,1,sum
failure,p03370,0.2755,81,294,111,32,11,0.288288,4.075582,11,5,1,max
failure,p03059,0.2755,81,294,101,31,11,0.306931,3.787482,9,5,1,other
failure,p02917,0.2755,81,294,233,44,20,0.188841,3.237462,12,7,1,sum
failure,p03281,0.2755,81,294,33,17,16,0.515152,4.045718,2,5,1,count
failure,p03075,0.2755,81,294,28,22,22,0.785714,4.922376,1,5,0,other
failure,p02621,0.2721,80,294,101,28,12,0.277228,4.476728,8,8,1,sum
failure,p03352,0.2721,80,294,152,55,12,0.361842,4.938059,13,5,0,other
failure,p02420,0.2721,80,294,45,12,12,0.266667,4.779246,1,7,0,other
