problem_id,baseline_consensus,Without_Comments,With_Comments,DeadCode,Encryption,Variable_Renaming,drop_With_Comments,drop_DeadCode,drop_Encryption,drop_Variable_Renaming
p02835,1,1,1,1,0,0,0,0,1,1
p02836,0,0,0,0,0,0,0,0,0,0
p02847,0,0,1,1,0,1,-1,-1,0,-1
p02848,1,1,1,1,1,1,0,0,0,0
p02860,1,1,1,1,1,1,0,0,0,0
p02879,0,0,1,1,1,1,-1,-1,-1,-1
p02880,1,1,1,1,1,1,0,0,0,0
p02881,1,1,1,1,0,1,0,0,1,0
p02886,1,1,1,1,0,1,0,0,1,0
p02887,1,1,1,1,0,1,0,0,1,0
p02897,1,1,1,0,0,0,0,1,1,1
p02898,1,1,1,1,1,1,0,0,0,0
p02899,1,1,1,1,1,1,0,0,0,0
p02909,1,1,1,1,0,0,0,0,1,1
p02910,1,1,0,1,1,1,1,0,0,0
p02911,0,0,1,1,0,0,-1,-1,0,0
p02916,1,1,1,1,1,1,0,0,0,0
p02917,1,1,1,0,1,1,0,1,0,0
p02921,1,1,0,0,0,0,1,1,1,1
p02922,1,1,1,1,1,1,0,0,0,0
p02923,0,0,1,1,0,1,-1,-1,0,-1
p02934,1,1,0,1,0,1,1,0,1,0
p02935,1,1,1,1,1,1,0,0,0,0
p02945,1,1,0,1,0,1,1,0,1,0
p02946,1,1,0,1,0,1,1,0,1,0
p02947,1,1,0,1,1,1,1,0,0,0
p02951,1,1,1,0,1,0,0,1,0,1
p02952,1,1,1,1,1,1,0,0,0,0
p02953,1,1,1,1,0,1,0,0,1,0
p02957,1,1,1,1,0,1,0,0,1,0
p02958,1,1,1,1,0,0,0,0,1,1
p02959,1,1,1,1,1,1,0,0,0,0
p02970,1,1,1,1,1,1,0,0,0,0
p02971,1,1,1,1,0,1,0,0,1,0
p02981,1,1,0,1,0,0,1,0,1,1
p02982,1,1,1,1,1,1,0,0,0,0
p02983,1,1,1,1,1,1,0,0,0,0
p02987,1,1,1,1,0,1,0,0,1,0
p02988,1,1,1,1,0,1,0,0,1,0
p02989,1,1,1,1,0,1,0,0,1,0
p02993,1,1,0,1,1,0,1,0,0,1
p02994,1,1,1,1,1,1,0,0,0,0
p02995,1,1,1,1,0,1,0,0,1,0
p03000,0,0,0,1,1,1,0,-1,-1,-1
p03001,0,0,1,0,1,0,-1,0,-1,0
p03011,1,1,1,1,1,1,0,0,0,0
p03012,1,1,1,1,1,1,0,0,0,0
p03013,0,0,0,0,0,0,0,0,0,0
p03035,1,1,1,1,1,1,0,0,0,0
p03037,1,1,1,1,1,1,0,0,0,0
p03041,1,1,1,0,1,1,0,1,0,0
p03042,1,1,1,0,0,1,0,1,1,0
p03043,0,0,0,0,0,0,0,0,0,0
p03059,1,1,1,0,0,0,0,1,1,1
p03060,0,0,1,1,1,0,-1,-1,-1,0
p03071,0,0,1,1,1,0,-1,-1,-1,0
p03072,0,0,1,1,1,1,-1,-1,-1,-1
p03073,1,1,0,1,1,1,1,0,0,0
p03075,1,1,1,1,0,1,0,0,1,0
p03076,1,1,1,0,0,1,0,1,1,0
p03086,1,1,1,1,1,1,0,0,0,0
p03087,1,1,0,0,1,1,1,1,0,0
p03102,1,1,1,1,1,1,0,0,0,0
p03106,0,0,1,1,0,1,-1,-1,0,-1
p03107,0,0,0,0,0,0,0,0,0,0
p03109,1,1,1,0,0,1,0,1,1,0
p03126,1,1,0,1,1,1,1,0,0,0
p03136,1,1,1,1,1,1,0,0,0,0
p03146,0,0,1,1,1,0,-1,-1,-1,0
p03147,1,1,1,0,1,1,0,1,0,0
p03160,1,1,1,1,1,1,0,0,0,0
p03161,1,1,0,1,1,1,1,0,0,0
p03220,0,0,0,0,1,1,0,0,-1,-1
p03239,0,0,0,1,1,1,0,-1,-1,-1
p03242,1,1,1,0,1,0,0,1,0,1
p03243,1,1,1,1,0,1,0,0,1,0
p03261,1,1,1,1,1,1,0,0,0,0
p03281,1,1,1,1,0,1,0,0,1,0
p03282,0,0,0,1,0,0,0,-1,0,0
p03285,0,0,1,1,0,1,-1,-1,0,-1
p03289,1,1,1,1,1,1,0,0,0,0
p03292,1,1,1,1,0,1,0,0,1,0
p03293,1,1,1,1,1,1,0,0,0,0
p03308,0,0,0,0,0,1,0,0,0,-1
p03315,0,0,0,1,0,1,0,-1,0,-1
p03316,1,1,1,1,1,1,0,0,0,0
p03324,1,1,1,1,0,1,0,0,1,0
p03325,0,0,1,0,0,0,-1,0,0,0
p03352,1,1,1,1,1,1,0,0,0,0
p03360,1,1,1,1,1,1,0,0,0,0
p03370,1,1,1,1,1,1,0,0,0,0
p03371,1,1,1,1,1,0,0,0,0,1
p03378,1,1,1,0,0,1,0,1,1,0
p03416,1,1,0,1,1,1,1,0,0,0
p03434,1,1,1,1,0,1,0,0,1,0
p03435,1,1,1,1,0,1,0,0,1,0
p03448,1,1,1,1,0,1,0,0,1,0
p03449,0,0,1,1,0,0,-1,-1,0,0
p03455,0,0,1,1,0,1,-1,-1,0,-1
p03456,1,1,1,1,0,1,0,0,1,0
p03457,0,0,1,1,0,1,-1,-1,0,-1
p03469,1,1,1,0,0,0,0,1,1,1
p03470,1,1,1,1,1,1,0,0,0,0
p03471,1,1,1,1,1,1,0,0,0,0
p03474,1,1,1,1,1,1,0,0,0,0
p03478,1,1,1,1,1,1,0,0,0,0
p03493,1,1,0,1,0,1,1,0,1,0
p03494,1,1,1,1,1,1,0,0,0,0
p03545,1,1,1,1,0,1,0,0,1,0
p03632,0,0,1,1,1,1,-1,-1,-1,-1
p03644,1,1,1,1,1,1,0,0,0,0
p03680,1,1,1,1,1,1,0,0,0,0
p03695,1,1,1,1,1,1,0,0,0,0
p03720,0,0,0,1,1,1,0,-1,-1,-1
p03775,1,1,1,1,1,1,0,0,0,0
p03814,1,1,1,1,1,1,0,0,0,0
p03835,1,1,1,1,0,1,0,0,1,0
p03854,0,0,0,1,0,1,0,-1,0,-1
p03998,1,1,1,0,0,1,0,1,1,0
p04012,1,1,0,1,1,1,1,0,0,0
p04030,1,1,1,0,0,1,0,1,1,0
p04043,1,1,1,1,0,1,0,0,1,0
p04044,1,1,1,1,1,1,0,0,0,0
