model,problem_id,s_enc,s_dead,s_lex
Dataset_starchat,p02994,0.39,0.475,0.408333
Dataset_starchat,p03644,0.32,0.225,0.308333
Dataset_starchat,p03136,0.18,0.375,0.466667
Dataset_starchat,p02570,0.15,0.4625,0.4
Dataset_starchat,p02982,0.5,0.575,0.416667
Dataset_starchat,p03478,0.52,0.425,0.291667
Dataset_starchat,p02772,0.21,0.5625,0.383333
Dataset_starchat,p03493,0.41,0.5,0.291667
Dataset_starchat,p03242,0.01,0.425,0.3
Dataset_starchat,p02766,0.67,0.475,0.483333
Dataset_starchat,p00011,0.28,0.475,0.441667
Dataset_starchat,p00005,0.69,0.525,0.441667
Dataset_starchat,p03281,0.43,0.45,0.475
Dataset_starchat,p02612,0.27,0.4375,0.425
Dataset_starchat,p02835,0.27,0.55,0.483333
Dataset_starchat,p02404,0.31,0.45,0.366667
Dataset_starchat,p02411,0.15,0.4625,0.383333
Dataset_starchat,p02410,0.27,0.5625,0.408333
Dataset_starchat,p02388,0.4,0.4125,0.65
Dataset_starchat,p02389,0.29,0.5625,0.366667
Dataset_starchat,p03041,0.36,0.5,0.408333
Dataset_starchat,p02613,0.22,0.425,0.475
Dataset_starchat,p02767,0.64,0.3625,0.458333
Dataset_starchat,p02405,0.16,0.5625,0.391667
Dataset_starchat,p03243,0.23,0.4,0.475
Dataset_starchat,p02773,0.24,0.3625,0.483333
Dataset_starchat,p02571,0.25,0.25,0.475
Dataset_starchat,p02264,0.51,0.55,0.491667
Dataset_starchat,p03109,0.22,0.3875,0.466667
Dataset_starchat,p03146,0.36,0.6125,0.466667
Dataset_starchat,p02983,0.46,0.6375,0.408333
Dataset_starchat,p02258,0.44,0.4,0.475
Dataset_starchat,p03378,0.25,0.1875,0.366667
Dataset_starchat,p02847,0.22,0.3375,0.35
Dataset_starchat,p02700,0.18,0.325,0.425
Dataset_starchat,p03998,0.3,0.4,0.266667
Dataset_starchat,p02729,0.18,0.45,0.233333
Dataset_starchat,p02675,0.25,0.6125,0.5
Dataset_starchat,p02701,0.57,0.625,0.55
Dataset_starchat,p04012,0.23,0.525,0.525
Dataset_starchat,p02259,0.33,0.4375,0.441667
Dataset_starchat,p03435,0.21,0.4,0.25
Dataset_starchat,p02887,0.22,0.3875,0.366667
Dataset_starchat,p02677,0.46,0.4,0.25
Dataset_starchat,p02717,0.36,0.5625,0.341667
Dataset_starchat,p03147,0.2,0.3125,0.458333
Dataset_starchat,p02688,0.23,0.5,0.316667
Dataset_starchat,p02879,0.18,0.4125,0.216667
Dataset_starchat,p02886,0.52,0.4625,0.25
Dataset_starchat,p02676,0.24,0.4875,0.466667
Dataset_starchat,p03434,0.59,0.3375,0.391667
Dataset_starchat,p03352,0.52,0.4,0.441667
Dataset_starchat,p02706,0.26,0.525,0.333333
Dataset_starchat,p02712,0.52,0.475,0.341667
Dataset_starchat,p02921,0.17,0.4375,0.416667
Dataset_starchat,p02935,0.62,0.6375,0.266667
Dataset_starchat,p02909,0.27,0.2875,0.291667
Dataset_starchat,p03545,0.22,0.3,0.441667
Dataset_starchat,p02699,0.26,0.45,0.35
Dataset_starchat,p03035,0.43,0.6125,0.241667
Dataset_starchat,p03632,0.45,0.466667,0.32
Dataset_starchat,p02934,0.63,0.325,0.433333
Dataset_starchat,p02713,0.34,0.225,0.358333
Dataset_starchat,p02897,0.3,0.5125,0.35
Dataset_starchat,p02707,0.44,0.4,0.258333
Dataset_starchat,p03814,0.41,0.2125,0.491667
Dataset_starchat,p02263,0.42,0.3,0.5
Dataset_starchat,p02705,0.31,0.4625,0.358333
Dataset_starchat,p02659,0.24,0.4625,0.333333
Dataset_starchat,p02922,0.43,0.5375,0.3
Dataset_starchat,p02711,0.22,0.575,0.325
Dataset_starchat,p02881,0.34,0.2875,0.291667
Dataset_starchat,p02658,0.46,0.5875,0.533333
Dataset_starchat,p02923,0.4,0.4125,0.325
Dataset_starchat,p03037,0.3,0.5,0.383333
Dataset_starchat,p03220,0.34,0.5875,0.375
Dataset_starchat,p02260,0.49,0.625,0.391667
Dataset_starchat,p02880,0.24,0.6625,0.508333
Dataset_starcoder,p03239,0.08,0.1,0.091667
Dataset_starcoder,p02898,0.19,0.0875,0.333333
Dataset_starcoder,p02640,0.08,0.325,0.191667
Dataset_starcoder,p02682,0.4,0.175,0.45
Dataset_starcoder,p03012,0.11,0.2,0.1
Dataset_starcoder,p03775,0.07,0.1875,0.133333
Dataset_starcoder,p03371,0.13,0.225,0.158333
Dataset_starcoder,p02899,0.18,0.15,0.05
Dataset_starcoder,p02641,0.01,0.15,0.091667
Dataset_starcoder,p03013,0.14,0.025,0.108333
Dataset_starcoder,p02681,0.19,0.3625,0.483333
Dataset_starcoder,p02694,0.03,0.0375,0.083333
Dataset_starcoder,p03011,0.09,0.0625,0.133333
Dataset_starcoder,p03370,0.09,0.1375,0.108333
Dataset_starcoder,p02657,0.06,0.15,0.066667
Dataset_starcoder,p04030,0.2,0.2,0.133333
Dataset_starcoder,p03416,0.33,0.2,0.091667
Dataset_starcoder,p02723,0.05,0.2125,0.166667
Dataset_starcoder,p02911,0.28,0.2,0.358333
Dataset_starcoder,p02910,0.05,0.2875,0.283333
Dataset_starcoder,p03161,0.18,0.0625,0.183333
Dataset_starcoder,p03001,0.13,0.1875,0.058333
Dataset_starcoder,p03000,0.02,0.0125,0.208333
Dataset_starcoder,p02848,0.03,0.1125,0.1
Dataset_starcoder,p02256,0.14,0.05,0.116667
Dataset_starcoder,p02860,0.2,0.225,0.05
Dataset_starcoder,p02257,0.14,0.1375,0.333333
Dataset_starcoder,p03835,0.15,0.0875,0.108333
Dataset_starcoder,p03160,0.11,0.175,0.016667
Dataset_starcoder,p03360,0.27,0.25,0.083333
Dataset_starcoder,p02268,0.12,0.1625,0.433333
Dataset_starcoder,p02718,0.05,0.0375,0.1
Dataset_starcoder,p02730,0.14,0.1125,0.108333
Dataset_starcoder,p02724,0.14,0.025,0.108333
Dataset_starcoder,p02917,0.09,0.0875,0.125
Dataset_starcoder,p02693,0.06,0.175,0.158333
Dataset_starcoder,p02687,0.17,0.075,0.158333
Dataset_starcoder,p02725,0.2,0.125,0.1
Dataset_starcoder,p02916,0.17,0.125,0.241667
Dataset_starcoder,p02731,0.23,0.0375,0.141667
Dataset_starcoder,p02719,0.1,0.0875,0.05
Dataset_starcoder,p03448,0.07,0.325,0.033333
Dataset_starcoder,p03474,0.11,0.025,0.033333
Dataset_starcoder,p02971,0.21,0.0875,0.116667
Dataset_starcoder,p02622,0.15,0.2,0.308333
Dataset_starcoder,p02959,0.04,0.275,0.166667
Dataset_starcoder,p02420,0.19,0.1,0.125
Dataset_starcoder,p02391,0.19,0.1625,0.1
Dataset_starcoder,p02408,0.05,0.175,0.091667
Dataset_starcoder,p02390,0.15,0.2,0.091667
Dataset_starcoder,p02255,0.12,0.225,0.116667
Dataset_starcoder,p04044,0.16,0.05,0.141667
Dataset_starcoder,p02409,0.18,0.1125,0.066667
Dataset_starcoder,p03059,0.18,0.1125,0.108333
Dataset_starcoder,p02970,0.0,0.225,0.158333
Dataset_starcoder,p03071,0.16,0.025,0.108333
Dataset_starcoder,p02421,0.16,0.1,0.008333
Dataset_starcoder,p02958,0.18,0.05,0.05
Dataset_starcoder,p03107,0.16,0.175,0.075
Dataset_starcoder,p02582,0.09,0.1,0.1
Dataset_starcoder,p02755,0.03,0.05,0.05
Dataset_starcoder,p02621,0.18,0.2125,0.125
Dataset_starcoder,p02812,0.02,0.2,0.166667
Dataset_starcoder,p03449,0.06,0.075,0.116667
Dataset_starcoder,p02392,0.27,0.65,0.216667
Dataset_starcoder,p03073,0.17,0.15,0.058333
Dataset_starcoder,p03072,0.15,0.05,0.091667
Dataset_starcoder,p02393,0.21,0.175,0.125
Dataset_starcoder,p02754,0.03,0.1375,0.158333
Dataset_starcoder,p02783,0.11,0.125,0.166667
Dataset_starcoder,p02595,0.15,0.0,0.025
Dataset_starcoder,p03106,0.23,0.05,0.15
Dataset_starcoder,p03102,0.01,0.025,0.1
Dataset_starcoder,p02778,0.23,0.725,0.183333
Dataset_starcoder,p02988,0.27,0.125,0.125
Dataset_starcoder,p03076,0.04,0.15,0.166667
Dataset_starcoder,p02552,0.17,0.0125,0.0
Dataset_starcoder,p02396,0.13,0.5375,0.15
Dataset_starcoder,p02397,0.18,0.025,0.141667
Dataset_starcoder,p04043,0.18,0.175,0.05
Dataset_starcoder,p02802,0.14,0.1625,0.125
Dataset_starcoder,p03261,0.2,0.175,0.158333
Dataset_starcoder,p02786,0.18,0.1375,0.133333
Dataset_starcoder,p02553,0.09,0.025,0.1
Dataset_starcoder,p02779,0.11,0.1875,0.2
Dataset_starcoder,p02989,0.09,0.0,0.041667
Dataset_starcoder,p03315,0.19,0.15,0.125
Dataset_starcoder,p02547,0.07,0.125,0.125
Dataset_starcoder,p03854,0.08,0.1125,0.05
Dataset_starcoder,p03471,0.04,0.0625,0.066667
Dataset_starcoder,p02784,0.19,0.1125,0.133333
Dataset_starcoder,p02790,0.3125,0.0625,0.058333
Dataset_starcoder,p02753,0.1,0.1125,0.383333
Dataset_starcoder,p02627,0.44,0.1875,0.633333
Dataset_starcoder,p02419,0.08,0.075,0.05
Dataset_starcoder,p02394,0.09,0.05,0.108333
Dataset_starcoder,p02381,0.14,0.125,0.125
Dataset_starcoder,p03075,0.09,0.0875,0.125
Dataset_starcoder,p03060,0.1,0.025,0.158333
Dataset_starcoder,p02801,0.14,0.1,0.291667
Dataset_starcoder,p02418,0.0,0.2125,0.15
Dataset_starcoder,p02829,0.12,0.1875,0.1
Dataset_starcoder,p03289,0.25,0.075,0.133333
Dataset_starcoder,p02785,0.17,0.1875,0.066667
Dataset_starcoder,p03680,0.06,0.1125,0.216667
Dataset_starcoder,p02791,0.19,0.0,0.108333
Dataset_starcoder,p03470,0.17,0.1,0.075
Dataset_starcoder,p02578,0.04,0.075,0.15
Dataset_starcoder,p03469,0.02,0.0375,0.125
Dataset_starcoder,p03455,0.22,0.075,0.175
Dataset_starcoder,p02993,0.18,0.325,0.291667
Dataset_starcoder,p02777,0.26,0.2,0.183333
Dataset_starcoder,p02987,0.22,0.125,0.083333
Dataset_starcoder,p03316,0.21,0.05,0.091667
Dataset_starcoder,p02818,0.2,0.1375,0.175
Dataset_starcoder,p02415,0.06,0.2125,0.091667
Dataset_starcoder,p02401,0.11,0.175,0.108333
Dataset_starcoder,p02830,0.2,0.1125,0.125
Dataset_starcoder,p03086,0.15,0.1,0.108333
Dataset_starcoder,p02398,0.13,0.175,0.016667
Dataset_starcoder,p03087,0.16,0.0625,0.066667
Dataset_starcoder,p02414,0.25,0.1,0.058333
Dataset_starcoder,p02399,0.22,0.1625,0.083333
Dataset_starcoder,p02400,0.18,0.1875,0.083333
Dataset_starcoder,p02831,0.18,0.05,0.05
Dataset_starcoder,p02819,0.24,0.1125,0.125
Dataset_starcoder,p00001,0.09,0.15,0.1
Dataset_starcoder,p03285,0.18,0.1125,0.1
Dataset_starcoder,p02951,0.06,0.1,0.058333
Dataset_starcoder,p02945,0.15,0.2,0.108333
Dataset_starcoder,p03695,0.09,0.0375,0.091667
Dataset_starcoder,p02576,0.16,0.1375,0.05
Dataset_starcoder,p03324,0.13,0.175,0.141667
Dataset_starcoder,p03456,0.13,0.15,0.1
Dataset_starcoder,p02947,0.15,0.025,0.116667
Dataset_starcoder,p02953,0.27,0.1625,0.141667
Dataset_starcoder,p02628,0.17,0.1375,0.05
Dataset_starcoder,p03126,0.16,0.15,0.091667
Dataset_starcoder,p00003,0.09,0.1125,0.066667
Dataset_starcoder,p03293,0.04,0.0875,0.075
Dataset_starcoder,p02416,0.16,0.15,0.091667
Dataset_starcoder,p02402,0.1,0.1,0.033333
Dataset_starcoder,p03720,0.2,0.15,0.291667
Dataset_starcoder,p02403,0.12,0.0,0.058333
Dataset_starcoder,p02417,0.02,0.0,0.125
Dataset_starcoder,p02629,0.14,0.175,0.058333
Dataset_starcoder,p02832,0.04,0.175,0.091667
Dataset_starcoder,p03292,0.14,0.05,0.066667
Dataset_starcoder,p00002,0.2,0.1,0.141667
Dataset_starcoder,p03494,0.12,0.15,0.125
Dataset_starcoder,p02946,0.08,0.125,0.091667
Dataset_starcoder,p03325,0.12,0.075,0.241667
Dataset_starcoder,p03457,0.06,0.05,0.366667
Dataset_starcoder,p02952,0.18,0.2125,0.108333
Dataset_starcoder,p02577,0.08,0.05,0.05
Dataset_starcoder,p02639,0.11,0.0625,0.1
Dataset_starcoder,p02995,0.04,0.125,0.0
Dataset_starcoder,p02981,0.17,0.1,0.15
Dataset_starcoder,p02759,0.05,0.0625,0.091667
Dataset_starcoder,p02771,0.13,0.125,0.041667
Dataset_starcoder,p00006,0.0,0.1875,0.108333
Dataset_starcoder,p03043,0.06,0.1375,0.133333
Dataset_starcoder,p03282,0.17,0.1,0.133333
Dataset_starcoder,p02836,0.16,0.0375,0.058333
Dataset_starcoder,p02413,0.19,0.175,0.125
Dataset_starcoder,p02406,0.09,0.0875,0.058333
Dataset_starcoder,p03042,0.19,0.1625,0.058333
Dataset_starcoder,p00007,0.07,0.0875,0.066667
Dataset_starcoder,p02957,0.16,0.05,0.175
Dataset_starcoder,p02407,0.0125,,0.058333
Dataset_starcoder,p02412,0.14,0.05,0.183333
Dataset_starcoder,p02994,0.19,0.1375,0.141667
Dataset_starcoder,p03136,0.03,0.0875,0.041667
Dataset_starcoder,p03308,0.24,0.125,0.075
Dataset_starcoder,p02570,0.06,0.1875,0.125
Dataset_starcoder,p03644,0.07,0.1,0.175
Dataset_starcoder,p03478,0.19,0.05,0.091667
Dataset_starcoder,p02766,0.15,0.1625,0.1
Dataset_starcoder,p03493,0.08,0.1,0.041667
Dataset_starcoder,p02982,0.15,0.0375,0.15
Dataset_starcoder,p03242,0.45,0.0375,0.175
Dataset_starcoder,p02772,0.28,0.0125,0.066667
Dataset_starcoder,p02612,0.08,0.025,0.15
Dataset_starcoder,p00005,0.12,0.125,0.191667
Dataset_starcoder,p03281,0.07,0.075,0.441667
Dataset_starcoder,p00011,0.11,0.1,0.166667
Dataset_starcoder,p02835,0.17,0.025,0.075
Dataset_starcoder,p02410,0.3,0.425,0.15
Dataset_starcoder,p02389,0.0,0.15,0.15
Dataset_starcoder,p02404,0.0,0.1875,0.108333
Dataset_starcoder,p02411,0.07,0.1625,0.458333
Dataset_starcoder,p02388,0.19,0.525,0.066667
Dataset_starcoder,p03041,0.19,0.15,0.133333
Dataset_starcoder,p02405,0.22,0.175,0.15
Dataset_starcoder,p02613,0.11,0.05,0.175
Dataset_starcoder,p03243,0.09,0.2,0.083333
Dataset_starcoder,p02767,0.1,0.1,0.15
Dataset_starcoder,p02571,0.21,0.1375,0.075
Dataset_starcoder,p02983,0.11,0.15,0.083333
Dataset_starcoder,p02773,0.28,0.1,0.316667
Dataset_starcoder,p03109,0.16,0.35625,0.433333
Dataset_starcoder,p02258,0.14,0.1,0.141667
Dataset_starcoder,p02264,0.12,0.1,0.058333
Dataset_starcoder,p02700,0.12,0.125,0.1
Dataset_starcoder,p03146,0.24,0.0875,0.15
Dataset_starcoder,p04012,0.12,0.2375,0.15
Dataset_starcoder,p03998,0.14,0.15,0.166667
Dataset_starcoder,p02847,0.0,0.2125,0.175
Dataset_starcoder,p03378,0.09,0.175,0.175
Dataset_starcoder,p02675,0.16,0.0,0.075
Dataset_starcoder,p02729,0.1,0.1,0.083333
Dataset_starcoder,p03147,0.1,0.1375,0.016667
Dataset_starcoder,p02259,0.58,0.1875,0.183333
Dataset_starcoder,p02717,0.21,0.1375,0.1
Dataset_starcoder,p02701,0.13,0.1375,0.108333
Dataset_starcoder,p02677,0.14,0.125,0.066667
Dataset_starcoder,p03435,0.16,0.1125,0.125
Dataset_starcoder,p02688,0.06,0.2375,0.116667
Dataset_starcoder,p02886,0.1,0.05,0.083333
Dataset_starcoder,p02879,0.02,0.1,0.116667
Dataset_starcoder,p02887,0.05,0.2,0.05
Dataset_starcoder,p03352,0.04,0.0875,0.083333
Dataset_starcoder,p03632,0.07,0.075,0.075
Dataset_starcoder,p02676,0.16,0.15,0.083333
Dataset_starcoder,p03434,0.05,0.0375,0.125
Dataset_starcoder,p02706,0.1,0.2,0.25
Dataset_starcoder,p02712,0.04,0.1625,0.075
Dataset_starcoder,p02935,0.2,0.1125,0.133333
Dataset_starcoder,p02921,0.22,0.225,0.2
Dataset_starcoder,p02699,0.08,0.0875,0.066667
Dataset_starcoder,p02909,0.15,0.125,0.166667
Dataset_starcoder,p03035,0.19,0.25,0.133333
Dataset_starcoder,p03545,0.16,0.125,0.041667
Dataset_starcoder,p02934,0.11,0.125,0.066667
Dataset_starcoder,p02897,0.05,0.025,0.0
Dataset_starcoder,p02713,0.05,0.1125,0.041667
Dataset_starcoder,p03814,0.14,0.1625,0.1
Dataset_starcoder,p02707,0.19,0.05,0.208333
Dataset_starcoder,p02705,0.04,0.1,0.0
Dataset_starcoder,p02263,0.04,0.0,0.066667
Dataset_starcoder,p02711,0.04,0.05,0.091667
Dataset_starcoder,p02659,0.13,0.0625,0.133333
Dataset_starcoder,p02922,0.16,0.1125,0.166667
Dataset_starcoder,p02880,0.05,0.1875,0.05
Dataset_starcoder,p03037,0.09,0.1875,0.183333
Dataset_starcoder,p02881,0.2,0.1375,0.175
Dataset_starcoder,p02658,0.05,0.1125,0.116667
Dataset_starcoder,p03220,0.14,0.0,0.15
Dataset_starcoder,p02260,0.15,0.125,0.125
Dataset_starcoder,p02923,0.18,0.0875,0.108333
Llama70b_Generation,p03239,0.55,0.6125,0.525
Llama70b_Generation,p02899,0.6,0.675,0.45
Llama70b_Generation,p02898,0.77,0.7,0.6
Llama70b_Generation,p02640,0.19,0.4625,0.341667
Llama70b_Generation,p03013,0.16,0.5125,0.35
Llama70b_Generation,p02641,0.25,0.25,0.441667
Llama70b_Generation,p03012,0.52,0.625,0.533333
Llama70b_Generation,p03371,0.46,0.4125,0.35
Llama70b_Generation,p02682,0.56,0.8125,0.433333
Llama70b_Generation,p03775,0.5,0.425,0.366667
Llama70b_Generation,p03370,0.66,0.625,0.4
Llama70b_Generation,p03416,0.69,0.75,0.541667
Llama70b_Generation,p02681,0.26,0.6625,0.583333
Llama70b_Generation,p02910,0.26,0.675,0.591667
Llama70b_Generation,p04030,0.54,0.5,0.491667
Llama70b_Generation,p03011,0.47,0.3625,0.466667
Llama70b_Generation,p02911,0.24,0.5125,0.458333
Llama70b_Generation,p02694,0.48,0.475,0.375
Llama70b_Generation,p02723,0.33,0.475,0.475
Llama70b_Generation,p02657,0.7,0.7125,0.5
Llama70b_Generation,p03161,0.57,0.625,0.55
Llama70b_Generation,p02257,0.47,0.675,0.5
Llama70b_Generation,p02860,0.25,0.45,0.425
Llama70b_Generation,p02848,0.22,0.725,0.741667
Llama70b_Generation,p02256,0.46,0.725,0.566667
Llama70b_Generation,p03160,0.66,0.675,0.625
Llama70b_Generation,p03001,0.32,0.475,0.316667
Llama70b_Generation,p03835,0.38,0.25,0.516667
Llama70b_Generation,p03000,0.4,0.35,0.383333
Llama70b_Generation,p02268,0.5,0.4375,0.45
Llama70b_Generation,p03360,0.24,0.65,0.591667
Llama70b_Generation,p02718,0.3,0.5,0.441667
Llama70b_Generation,p02687,0.28,0.4625,0.45
Llama70b_Generation,p02724,0.29,0.6875,0.491667
Llama70b_Generation,p02730,0.43,0.4875,0.466667
Llama70b_Generation,p02916,0.22,0.4875,0.383333
Llama70b_Generation,p02731,0.23,0.3625,0.275
Llama70b_Generation,p02917,0.23,0.5625,0.383333
Llama70b_Generation,p02693,0.47,0.675,0.466667
Llama70b_Generation,p02725,0.31,0.475,0.358333
Llama70b_Generation,p02719,0.56,0.45,0.3
Llama70b_Generation,p02255,0.47,0.85,0.791667
Llama70b_Generation,p03448,0.46,0.8,0.716667
Llama70b_Generation,p02408,0.55,0.4,0.466667
Llama70b_Generation,p02391,0.27,0.7875,0.7
Llama70b_Generation,p02622,0.56,0.4125,0.491667
Llama70b_Generation,p03474,0.19,0.5,0.533333
Llama70b_Generation,p02420,0.32,0.55,0.391667
Llama70b_Generation,p02971,0.51,0.4,0.458333
Llama70b_Generation,p02959,0.55,0.4625,0.366667
Llama70b_Generation,p02390,0.26,0.6125,0.458333
Llama70b_Generation,p02409,0.29,0.35,0.441667
Llama70b_Generation,p03071,0.67,0.625,0.516667
Llama70b_Generation,p04044,0.57,0.55,0.5
Llama70b_Generation,p02421,0.64,0.6,0.508333
Llama70b_Generation,p03449,0.62,0.675,0.491667
Llama70b_Generation,p02958,0.18,0.6,0.591667
Llama70b_Generation,p03059,0.44,0.5875,0.416667
Llama70b_Generation,p02582,0.36,0.3375,0.425
Llama70b_Generation,p02970,0.69,0.675,0.475
Llama70b_Generation,p03107,0.38,0.375,0.341667
Llama70b_Generation,p02755,0.23,0.4,0.45
Llama70b_Generation,p02621,0.25,0.425,0.5
Llama70b_Generation,p02812,0.48,0.3375,0.608333
Llama70b_Generation,p02393,0.71,0.7,0.691667
Llama70b_Generation,p03073,0.23,0.25,0.458333
Llama70b_Generation,p02754,0.69,0.675,0.508333
Llama70b_Generation,p02392,0.2,0.725,0.8
Llama70b_Generation,p02783,0.69,0.4875,0.425
Llama70b_Generation,p03072,0.36,0.4125,0.375
Llama70b_Generation,p02595,0.27,0.3375,0.35
Llama70b_Generation,p03106,0.42,0.6625,0.6
Llama70b_Generation,p03102,0.74,0.6625,0.475
Llama70b_Generation,p02552,0.22,0.675,0.491667
Llama70b_Generation,p02988,0.47,0.4875,0.583333
Llama70b_Generation,p02396,0.2,0.6875,0.516667
Llama70b_Generation,p02397,0.24,0.5125,0.525
Llama70b_Generation,p04043,0.25,0.5125,0.483333
Llama70b_Generation,p02778,0.47,0.6875,0.533333
Llama70b_Generation,p03076,0.21,0.4375,0.45
Llama70b_Generation,p02802,0.48,0.5375,0.283333
Llama70b_Generation,p02786,0.53,0.4875,0.408333
Llama70b_Generation,p02989,0.27,0.425,0.441667
Llama70b_Generation,p03261,0.34,0.45,0.458333
Llama70b_Generation,p02779,0.42,0.4,0.425
Llama70b_Generation,p03315,0.16,0.175,0.55
Llama70b_Generation,p02553,0.47,0.5375,0.516667
Llama70b_Generation,p02547,0.3,0.5625,0.566667
Llama70b_Generation,p03471,0.26,0.6625,0.466667
Llama70b_Generation,p03854,0.27,0.65,0.5
Llama70b_Generation,p02753,0.18,0.525,0.208333
Llama70b_Generation,p02790,0.32,0.525,0.458333
Llama70b_Generation,p02627,0.15,0.6625,0.8
Llama70b_Generation,p02784,0.63,0.6625,0.475
Llama70b_Generation,p02419,0.34,0.5125,0.658333
Llama70b_Generation,p02394,0.21,0.625,0.416667
Llama70b_Generation,p02418,0.21,0.625,0.583333
Llama70b_Generation,p02381,0.32,0.6,0.741667
Llama70b_Generation,p02829,0.27,0.2875,0.45
Llama70b_Generation,p03060,0.68,0.65,0.5
Llama70b_Generation,p03075,0.25,0.625,0.6625
Llama70b_Generation,p03289,0.24,0.625,0.816667
Llama70b_Generation,p02801,0.18,0.6125,0.725
Llama70b_Generation,p02791,0.33,0.45,0.341667
Llama70b_Generation,p02785,0.38,0.4875,0.275
Llama70b_Generation,p03316,0.28,0.1875,0.625
Llama70b_Generation,p03470,0.72,0.4875,0.575
Llama70b_Generation,p02578,0.27,0.4875,0.508333
Llama70b_Generation,p03680,0.32,0.275,0.35
Llama70b_Generation,p03469,0.36,0.5625,0.375
Llama70b_Generation,p02777,0.37,0.5625,0.383333
Llama70b_Generation,p02993,0.4,0.4,0.508333
Llama70b_Generation,p03455,0.39,0.5,0.4
Llama70b_Generation,p02987,0.19,0.325,0.683333
Llama70b_Generation,p02818,0.69,0.65,0.466667
Llama70b_Generation,p02401,0.27,0.7125,0.675
Llama70b_Generation,p02830,0.66,0.625,0.508333
Llama70b_Generation,p02415,0.27,0.7375,0.691667
Llama70b_Generation,p03086,0.54,0.5875,0.666667
Llama70b_Generation,p02398,0.61,0.45,0.566667
Llama70b_Generation,p02399,0.25,0.55,0.608333
Llama70b_Generation,p02414,0.4,0.6375,0.55
Llama70b_Generation,p03087,0.3,0.7625,0.775
Llama70b_Generation,p02831,0.75,0.5625,0.533333
Llama70b_Generation,p02945,0.72,0.7375,0.558333
Llama70b_Generation,p02819,0.51,0.6875,0.516667
Llama70b_Generation,p03285,0.4,0.6125,0.483333
Llama70b_Generation,p02400,0.44,0.6,0.683333
Llama70b_Generation,p02951,0.54,0.65,0.508333
Llama70b_Generation,p00001,0.68,0.45,0.616667
Llama70b_Generation,p02576,0.35,0.5125,0.466667
Llama70b_Generation,p03695,0.35,0.3125,0.541667
Llama70b_Generation,p03126,0.4,0.55,0.45
Llama70b_Generation,p03324,0.63,0.625,0.441667
Llama70b_Generation,p02953,0.21,0.4,0.633333
Llama70b_Generation,p00003,0.27,0.7875,0.8
Llama70b_Generation,p03456,0.38,0.45,0.533333
Llama70b_Generation,p02628,0.4,0.35,0.533333
Llama70b_Generation,p03293,0.25,0.725,0.541667
Llama70b_Generation,p02947,0.36,0.6625,0.475
Llama70b_Generation,p02416,0.23,0.4125,0.741667
Llama70b_Generation,p02402,0.52,0.65,0.583333
Llama70b_Generation,p03720,0.51,0.55,0.433333
Llama70b_Generation,p02403,0.2,0.7625,0.733333
Llama70b_Generation,p02417,0.19,0.75,0.725
Llama70b_Generation,p02832,0.36,0.5375,0.375
Llama70b_Generation,p03292,0.38,0.5375,0.391667
Llama70b_Generation,p02629,0.23,0.375,0.566667
Llama70b_Generation,p00002,0.22,0.4125,0.5
Llama70b_Generation,p03494,0.44,0.5625,0.383333
Llama70b_Generation,p02952,0.35,0.3375,0.658333
Llama70b_Generation,p03457,0.27,0.7,0.55
Llama70b_Generation,p03325,0.67,0.525,0.525
Llama70b_Generation,p02946,0.28,0.55,0.483333
Llama70b_Generation,p02577,0.3,0.8125,0.716667
Llama70b_Generation,p02981,0.59,0.525,0.466667
Llama70b_Generation,p02759,0.66,0.5875,0.333333
Llama70b_Generation,p02995,0.71,0.425,0.658333
Llama70b_Generation,p02639,0.67,0.5125,0.391667
Llama70b_Generation,p02771,0.2,0.8625,0.741667
Llama70b_Generation,p00006,0.26,0.625,0.583333
Llama70b_Generation,p02836,0.51,0.5125,0.516667
Llama70b_Generation,p02413,0.6,0.55,0.65
Llama70b_Generation,p02407,0.26,0.5875,0.458333
Llama70b_Generation,p03043,0.3,0.725,0.491667
Llama70b_Generation,p02412,0.55,0.575,0.541667
Llama70b_Generation,p02957,0.54,0.5375,0.433333
Llama70b_Generation,p03042,0.23,0.8,0.733333
Llama70b_Generation,p00007,0.44,0.5,0.283333
Llama70b_Generation,p03282,0.3,0.425,0.341667
Llama70b_Generation,p02406,0.25,0.2,0.616667
Llama70b_Generation,p03308,0.47,0.45,0.408333
Llama70b_Generation,p03136,0.43,0.475,0.541667
Llama70b_Generation,p02994,0.57,0.5625,0.458333
Llama70b_Generation,p03644,0.45,0.3375,0.391667
Llama70b_Generation,p02570,0.24,0.525,0.441667
Llama70b_Generation,p02982,0.37,0.525,0.45
Llama70b_Generation,p02772,0.23,0.4625,0.55
Llama70b_Generation,p02766,0.53,0.6375,0.541667
Llama70b_Generation,p03478,0.39,0.3625,0.525
Llama70b_Generation,p03493,0.39,0.6,0.425
Llama70b_Generation,p03242,0.35,0.4625,0.341667
Llama70b_Generation,p00011,0.18,0.225,0.5
Llama70b_Generation,p02612,0.35,0.575,0.416667
Llama70b_Generation,p00005,0.62,0.5,0.566667
Llama70b_Generation,p03281,0.48,0.725,0.566667
Llama70b_Generation,p02835,0.36,0.3875,0.533333
Llama70b_Generation,p02410,0.22,0.4875,0.55
Llama70b_Generation,p02404,0.3,0.65,0.625
Llama70b_Generation,p02388,0.46,0.825,0.791667
Llama70b_Generation,p02411,0.21,0.775,0.791667
